Ref No.;Full citation (APA);Person working on it;Abs Justification; Include/Exclude Abstract; Include/Exclude Full;Full txt Justification;Habitat;Habitat_old;Species (Genus);Species (Latin name, first letter capital, e.g. Zostera marina);Focus;Setting;Type of Data;Region according to HELCOM;Latitude;Longitude;Notes (Region);Time scale;Start Year;End Year;Duration;Pressures;Pressures2;Details on Pressures;Effect of Pressures;Effect direction of Pressures;Type of Ecosystem Service;Specify Service;Service details;Describe Service;Are ES Monetary?;Type of Non-Monetary Value;Type of Monetary Value;Monetary Method used;Specific Method (Non-Monetary and Monetary);Specific Unit (Non-Monetary and Monetary);NOTES;Economic Scoring System;Type of Effect on Economy;Natural Scoring System;Type of Effect on Nature;Human Scoring System;Type of Effect on Human;Social Scoring System;Type of Effect on Society;Interaction with other ES;NOTES;Language of Literature;Quality Assessment (0 (bad) - 5 (good));Criterion Used;Value of Criterion;Number of Replicates;NOTES
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Polysiphonia;Polysiphonia nigra;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Polysiphonia;Polysiphonia elongata;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Halisiphon;Halisiphon tomentosus;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Fucus;Fucus vesiculosus;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Fucus;Fucus serratus;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Dumontia;Dumontia contorta;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Dasya;Dasya baillouviana;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Cladophora;Cladophora rupestris;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Ceramium;Ceramium virgatum;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Ceramium;Ceramium tenuicorne;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Callithamnion;Callithamnion corymbosum;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
2773;Goecke, F., Labes, A., Wiese, J., & Imhoff, J. F. (2012). Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea. Revista de Biolog¡a Marina Y Oceanograf¡a, 47(1), 75?86. https://doi.org/10.4067/s0718-19572012000100007;Reviewer 5;effects of 16 macroalgal extracts on 10 microorganisms;Include;Include;effects of 16 macroalgal extracts on 10 microorganisms;Macroalgae;Macroalgae;Bonnemaisonia;Bonnemaisonia hamifera;Dual effect of macroalgal extracts on growth of bacteria in Western Baltic Sea;Lab;Experiment;Kiel Bay;54,425000;10,200000;;Present;2009;2011;3;None;None;;;;Provisioning;Biomedical product;Pharmaceutical use;antimicrobial activity of crude extracts of macroalgae, growth inhibition of Bacillus subtilis;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Direct;4;Direct;2;Direct;2;Direct;;;english;5;OTHER (make notes);;3;percent growth inhibition, mean and SE
30;Kaspersen, B. S., Christensen, T. B., Fredenslund, A. M., M›ller, H. B., Butts, M. B., Jensen, N. H., & Kjaer, T. (2016). Linking climate change mitigation and coastal eutrophication management through biogas technology: Evidence from a new Danish bioenergy concept. Science of The Total Environment, 541, 1124?1131. https://doi.org/10.1016/j.scitotenv.2015.10.015;Reviewer 1 ;it is about beach cast macroalgae being used for energy production;Include;Include;;Seagrass;Seagrass;Zostera;Zostera marina;feasibility of seagrass for bioenergy;Lab;Experiment;Arkona Basin;55,456469;12,198467;;Present;2011;2012;2;None;None;reduction in carbon pollution;seaweed can produce bioenergy effectively;;Regulation & Maintenance;Carbon sequestration;Carbon sink;reduction in carbon pollution;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;3;None;;not applicable;
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Scytosiphon;Scytosiphon lomentaria;Measuring productivity;Field;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);4.21-8.76;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Scytosiphon;Scytosiphon lomentaria;Measuring productivity;Lab;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);6,66;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Rhodomela;Rhodomela confervoides;Measuring productivity;Field;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);0.80-8.53;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Rhodomela;Rhodomela confervoides;Measuring productivity;Lab;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);3,45;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Pilayella;Pilayella littoralis;Measuring productivity;Field;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);0.58-6.08;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Pilayella;Pilayella littoralis;Measuring productivity;Lab;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);2.17-5.84;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Phyllophora;Phyllophora truncata;Measuring productivity;Field;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);0.28-0.35;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Phyllophora;Phyllophora truncata;Measuring productivity;Lab;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);0.49-0.61;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Monostroma;Monostroma grevillei;Measuring productivity;Field;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);5-59-9.49;NA;mgC g dwt h
618;Wallentinus, I. (1978). Productivity studies on Baltic macroalgae. Botanica Marina, 21(6), 365-380.;Reviewer 2;;Include;Include;;Macroalgae;Macroalgae;Monostroma;Monostroma grevillei;Measuring productivity;Lab;Experiment;Northern Baltic Proper;;;;Present;1977;1977;1;None;None;;;;Regulation & Maintenance;Carbon sequestration;Carbon sink;Carbon sequestration;Does not apply;Does not apply;Does not apply;Does not apply;;;;1;Indirect;4;Direct;2;Indirect;2;Indirect;;;english;5;OTHER (make notes);11,58;NA;mgC g dwt h
